"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premref1","diff"
"95",24291960195,7,7,7,7,7,6,6,1,2,5730,205,1631,205,7,1426,0.248865619546248,TRUE,518,"7"
"96",24319152517,1,5,5,5,5,0,0,1,0,3598,57,250,57,5,193,0.0536409116175653,TRUE,0,NA
"97",24319152517,2,7,7,7,7,0,0,1,1,3798,72,450,72,7,378,0.0995260663507109,TRUE,185,"4"
"98",24319152517,3,11,11,11,11,0,0,0,3,4098,292,750,292,11,458,0.111761835041484,TRUE,265,"12"
"99",24319152517,4,11,11,11,11,0,0,0,2,4298,437,950,437,11,513,0.119357840856212,TRUE,320,"12"
"100",24319152517,5,12,12,12,12,0,0,0,2,4598,537,1250,537,12,713,0.15506742061766,TRUE,520,"13"
"101",24596036343,1,10,10,5,5,4,4,1,5,3259,35,210,35,10,175,0.0536974532065051,TRUE,0,NA
"102",24596036343,2,12,12,7,7,6,6,1,6,3319,45,270,45,12,225,0.0677915034648991,TRUE,50,"2"
"103",24596036343,3,13,13,8,8,7,7,1,6,3479,65,430,65,13,365,0.104915205518827,TRUE,190,"5"
"104",24596036343,4,14,14,9,9,7,7,1,7,3599,95,550,95,14,455,0.126424006668519,TRUE,280,"8"
"105",24596036343,5,14,14,9,9,7,7,1,7,3799,65,750,65,14,685,0.180310608054751,TRUE,510,"8"
"106",24596036343,6,15,15,10,10,8,8,1,7,4049,135,1000,135,15,865,0.213632995801432,TRUE,690,"9"
"107",24596036343,7,16,16,11,11,9,9,1,6,3839,245,790,245,16,545,0.141964053138838,TRUE,370,"8"
"108",24596036343,8,17,17,12,12,9,9,1,7,4149,265,1100,265,17,835,0.201253314051579,TRUE,660,"11"
"109",25673844634,1,11,10,6,5,3,2,1,3,0,126,0,126,11,-126,-Inf,TRUE,0,NA
"110",25673844634,2,17,15,6,5,3,2,1,4,0,151,0,151,17,-151,-Inf,TRUE,-25,"8"
"111",25673844634,3,17,15,6,5,3,2,1,4,0,191,0,191,17,-191,-Inf,TRUE,-65,"8"
"112",25673844634,4,17,15,6,5,3,2,1,4,0,206,0,206,17,-206,-Inf,TRUE,-80,"8"
"113",26519380192,1,14,14,7,7,8,8,0,5,3490,50,230,50,14,180,0.0515759312320917,TRUE,0,NA
"114",26519380192,2,15,15,8,8,9,9,0,5,3600,70,340,70,15,270,0.075,TRUE,90,"3"
"115",26519380192,3,15,15,8,8,9,9,0,4,3710,155,450,155,15,295,0.0795148247978437,TRUE,115,"5"
"116",26519380192,4,15,15,8,8,9,9,1,3,3820,275,560,275,15,285,0.0746073298429319,TRUE,105,"9"
"117",26519380192,5,17,17,10,10,10,10,1,4,3930,418,670,418,17,252,0.0641221374045802,TRUE,72,"11"
"118",26519380192,6,17,17,10,10,10,10,1,4,4140,433,880,433,17,447,0.107971014492754,TRUE,267,"11"
"119",26519380192,7,17,17,10,10,10,10,1,4,4640,623,1380,623,17,757,0.163146551724138,TRUE,577,"11"
"120",27462844289,1,12,12,4,4,6,6,2,3,3220,195,160,195,11,-35,-0.0108695652173913,FALSE,0,NA
"121",27462844289,2,12,12,4,4,6,6,2,3,3260,100,200,100,11,100,0.0306748466257669,FALSE,135,"4"
"122",27462844289,3,13,13,5,5,7,7,3,3,3460,340,400,340,12,60,0.0173410404624277,FALSE,95,"3"
"123",27462844289,4,13,13,5,5,7,7,3,3,3540,380,480,380,12,100,0.0282485875706215,FALSE,135,"3"
"124",27462844289,5,15,15,7,7,9,9,3,3,3960,580,900,580,14,320,0.0808080808080808,FALSE,355,"7"
"125",27462844289,6,15,15,7,7,9,9,3,3,4040,620,980,620,14,360,0.0891089108910891,FALSE,395,"7"
"126",35540978058,1,9,9,3,3,2,2,0,0,3128,115,130,115,8,15,0.00479539641943734,FALSE,0,NA
"127",35540978058,2,11,11,5,5,4,4,0,0,3338,200,340,200,10,140,0.0419412822049131,FALSE,125,"4"
"128",35540978058,3,12,12,6,6,5,5,0,1,3448,200,450,200,11,250,0.0725058004640371,FALSE,235,"5"
"129",35540978058,4,12,12,6,6,5,5,0,1,3598,275,600,275,11,325,0.0903279599777654,FALSE,310,"5"
"130",35540978058,5,12,12,6,6,5,5,1,1,3798,275,800,275,11,525,0.138230647709321,FALSE,510,"5"
"131",35674260254,1,12,12,10,10,2,2,1,2,2900,94,190,94,12,96,0.0331034482758621,TRUE,0,NA
"132",35674260254,2,12,12,10,10,2,2,1,2,2930,96,220,96,12,124,0.042320819112628,TRUE,28,"2"
"133",35674260254,3,12,12,10,10,2,2,1,2,2970,121,260,121,12,139,0.0468013468013468,TRUE,43,"2"
"134",35674260254,4,12,12,10,10,2,2,1,2,3050,161,340,161,12,179,0.0586885245901639,TRUE,83,"2"
"135",35674260254,5,13,13,11,11,2,2,2,3,3090,96,380,96,13,284,0.0919093851132686,TRUE,188,"3"
"136",35674260254,6,13,13,11,11,2,2,2,3,3170,121,460,121,13,339,0.106940063091483,TRUE,243,"3"
"137",35674260254,7,13,13,11,11,2,2,2,3,3210,161,500,161,13,339,0.105607476635514,TRUE,243,"3"
"138",35674260254,8,16,16,11,11,2,2,2,4,3250,161,540,161,16,379,0.116615384615385,TRUE,283,"6"
"139",36513357018,1,1,1,1,1,1,1,0,0,2500,50,-450,50,1,-500,-0.2,TRUE,0,NA
"140",36513357018,2,12,12,12,12,3,3,1,1,3100,109,150,109,12,41,0.0132258064516129,TRUE,541,"11"
"141",36513357018,3,13,13,13,13,4,4,1,1,3200,121,250,121,13,129,0.0403125,TRUE,629,"12"
"142",36513357018,4,13,13,13,13,4,4,1,1,3250,146,300,146,13,154,0.0473846153846154,TRUE,654,"12"
"143",36513357018,5,13,13,13,13,4,4,1,1,3300,186,350,186,13,164,0.0496969696969697,TRUE,664,"12"
"144",36574928690,1,12,12,12,12,2,2,0,4,2960,80,100,80,12,20,0.00675675675675676,TRUE,0,NA
"145",36574928690,2,16,16,16,16,2,2,0,4,3040,130,180,130,16,50,0.0164473684210526,TRUE,30,"2"
"146",36574928690,3,18,18,18,18,3,3,2,6,3150,230,290,230,18,60,0.019047619047619,TRUE,40,"7"
"147",36574928690,4,18,18,18,18,3,3,2,7,3260,250,400,250,18,150,0.0460122699386503,TRUE,130,"8"
"148",36574928690,5,18,18,18,18,3,3,2,7,3380,250,520,250,18,270,0.0798816568047337,TRUE,250,"8"
"149",36613205733,1,16,16,8,8,6,6,0,2,2999,62,150,62,16,88,0.0293431143714572,TRUE,0,NA
"150",36613205733,2,18,18,15,15,6,6,0,4,3059,90,210,90,18,120,0.039228506047728,TRUE,32,"6"
"151",36613205733,3,19,19,16,16,7,7,0,5,3139,95,290,95,19,195,0.0621216948072635,TRUE,107,"7"
"152",36613205733,4,21,21,18,18,7,7,0,5,3239,115,390,115,21,275,0.0849027477616548,TRUE,187,"9"
"153",36613205733,5,22,22,19,19,8,8,0,3,3459,315,610,315,22,295,0.0852847643827696,TRUE,207,"12"
"154",36613205733,6,23,23,20,20,9,9,0,3,3589,355,740,355,23,385,0.107272220674283,TRUE,297,"13"
"155",36910165248,1,7,6,6,5,0,0,0,2,3078,40,220,40,7,180,0.0584795321637427,TRUE,0,NA
"156",36910165248,2,7,6,6,5,0,0,0,2,3118,40,260,40,7,220,0.0705580500320718,TRUE,40,"2"
"157",36910165248,3,12,10,11,9,0,0,0,3,3228,110,370,110,12,260,0.080545229244114,TRUE,80,"5"
"158",36910165248,4,12,10,11,9,0,0,0,3,3268,110,410,110,12,300,0.0917992656058751,TRUE,120,"7"
"159",36910165248,5,12,10,11,9,0,0,0,3,3358,125,500,125,12,375,0.111673615247171,TRUE,195,"7"
"160",36910165248,6,14,12,13,11,1,1,0,3,3418,130,560,130,14,430,0.125804564072557,TRUE,250,"9"
"161",36910165248,7,14,12,13,11,1,1,0,3,3508,145,650,145,14,505,0.143956670467503,TRUE,325,"9"
"162",36910165248,8,16,14,15,13,1,1,0,3,3588,180,730,180,16,550,0.153288740245262,TRUE,370,"11"
"163",36982442137,1,21,21,13,13,0,0,0,4,3568.28571428571,277,240.285714285714,277,21,-36.7142857142858,-0.0102890543678437,TRUE,0,NA
"164",36982442137,2,21,21,13,13,0,0,0,4,3626.85714285714,387,298.857142857143,387,21,-88.1428571428573,-0.02430282023003,TRUE,-51.4285714285716,"8"
"165",36982442137,3,22,22,12,12,0,0,1,5,3710,410,382,410,22,-28,-0.00754716981132075,TRUE,8.71428571428578,"15"
"166",36982442137,4,10,10,7,7,0,0,0,2,3756,220,428,220,10,208,0.0553780617678381,TRUE,244.714285714286,"18"
"167",36982442137,5,14,13,11,10,0,0,0,4,3856,181,528,181,14,347,0.0899896265560166,TRUE,383.714285714286,"22"
"168",36982442137,6,14,13,11,10,0,0,0,4,3916,241,588,241,14,347,0.0886108273748723,TRUE,383.714285714286,"22"
"169",36982442137,7,14,13,11,10,0,0,0,4,4136,301,808,301,14,507,0.122582205029014,TRUE,543.714285714286,"22"
"170",37241107923,1,5,5,5,5,1,1,0,0,2750,140,70,140,5,-70,-0.0254545454545455,TRUE,0,NA
"171",37241107923,2,6,6,6,6,2,2,0,1,2840,150,160,150,6,10,0.00352112676056338,TRUE,80,"3"
"172",37443266749,1,16,14,3,1,2,2,0,4,3565,10,285,10,16,275,0.0771388499298738,TRUE,0,NA
"173",37443266749,2,16,14,3,1,2,2,0,4,3596,35,316,35,16,281,0.0781423804226919,TRUE,6,"2"
"174",37443266749,3,16,14,3,1,2,2,0,4,3645,75,365,75,16,290,0.0795610425240055,TRUE,15,"2"
"175",37443266749,4,17,15,3,1,2,2,0,5,3625,10,345,10,17,335,0.0924137931034483,TRUE,60,"1"
"176",37443266749,5,17,15,3,1,2,2,0,5,3655,35,375,35,17,340,0.0930232558139535,TRUE,65,"3"
