"","X.x","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","benchmark","total_n_of_a","total_price_of_a","premium_minus_a","perc_premrel1","premium_minus_a_perc","Author","diff","diff_minus_a","X.y","item_sales","bundle_sales","filterted_item_sales","filtered_bundle_sales","share","filtered_item_share"
"116",116,35674260254,"7",14,14,12,12,2,2,0,0,3210,553,443,310,103,1,207,0.0644859813084112,FALSE,207,2710,1,22,185,0.0763837638376384,0.0682656826568266,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"117",117,35674260254,"8",17,17,12,12,2,2,0,0,3250,663,443,350,213,4,137,0.0421538461538462,FALSE,137,2710,1,22,115,0.0505535055350554,0.0424354243542435,"suyang",6,5,NA,NA,".",NA,NA,".",NA
"122",122,36574928690,"2",16,16,16,16,2,2,0,0,3040,490,490,80,260,4,-180,-0.0592105263157895,FALSE,-180,2860,0,0,-180,-0.0629370629370629,-0.0629370629370629,"suyang",2,2,NA,NA,".",NA,NA,".",NA
"126",126,36613205733,"2",18,18,15,15,6,6,0,2,3059,470,390,60,80,2,-20,-0.006538084341288,FALSE,-20,2849,2,70,-90,-0.00702000702000702,-0.0315900315900316,"suyang",6,4,NA,NA,".",NA,NA,".",NA
"127",127,36613205733,"3",19,19,16,16,7,7,0,2,3139,550,470,140,160,3,-20,-0.00637145587766805,FALSE,-20,2849,2,70,-90,-0.00702000702000702,-0.0315900315900316,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"128",128,36613205733,"4",21,21,18,18,7,7,0,2,3239,630,550,240,240,5,0,0,FALSE,0,2849,2,70,-70,0,-0.0245700245700246,"suyang",9,7,NA,NA,".",NA,NA,".",NA
"131",131,36910165248,"2",7,6,6,5,0,0,0,1,3118,180,170,40,5,0,35,0.0112251443232842,FALSE,35,2858,1,25,10,0.0122463261021693,0.00349895031490553,"suyang",2,1,97,117,"5",54,3,"0.04",0.06
"132",132,36910165248,"3",12,10,11,9,0,0,0,2,3228,445,435,150,270,5,-120,-0.0371747211895911,FALSE,-120,2858,0,0,-120,-0.0419874037788663,-0.0419874037788663,"suyang",5,5,98,117,"11",54,4,"0.09",0.07
"133",133,36910165248,"4",12,10,11,9,0,0,0,2,3268,450,440,190,275,5,-85,-0.0260097919216646,FALSE,-85,2858,1,25,-110,-0.029741077676697,-0.0384884534639608,"suyang",7,6,99,117,"10",54,4,"0.09",0.07
"134",134,36910165248,"5",12,10,11,9,0,0,0,2,3358,475,465,280,300,5,-20,-0.00595592614651578,FALSE,-20,2858,1,25,-45,-0.00699790062981106,-0.0157452764170749,"suyang",7,6,100,117,"2",54,1,"0.02",0.02
"138",138,36982442137,"2",21,21,13,13,0,0,0,0,3626.85714285714,939,781,58.5714285714284,120,0,-61.4285714285716,-0.01693713565464,FALSE,-61.4285714285716,3328,4,395,-456.428571428572,-0.0184581043956044,-0.137148008241758,"suyang",8,4,NA,NA,".",NA,NA,".",NA
"139",139,36982442137,"3",22,22,12,12,0,0,0,1,3710,1064,896,141.714285714286,245,1,-103.285714285714,-0.0278398151713515,FALSE,-103.285714285714,3328,7,535,-638.285714285714,-0.0310353708791209,-0.191792582417582,"suyang",15,8,NA,NA,".",NA,NA,".",NA
"140",140,36982442137,"4",10,10,7,7,0,0,0,0,3756,480,440,187.714285714286,-339,-11,526.714285714286,0.140232770424464,FALSE,526.714285714286,3328,14,754,-227.285714285714,0.158267513736264,-0.0682949862637362,"suyang",18,4,NA,NA,".",NA,NA,".",NA
"141",141,36982442137,"5",14,13,11,10,0,0,0,1,3856,470,390,287.714285714286,-349,-7,636.714285714286,0.165122999407232,FALSE,636.714285714286,3328,14,754,-117.285714285714,0.191320398351648,-0.0352421016483516,"suyang",22,8,NA,NA,".",NA,NA,".",NA
"142",142,36982442137,"6",14,13,11,10,0,0,0,1,3916,490,455,347.714285714286,-329,-7,676.714285714286,0.172807529549103,FALSE,676.714285714286,3328,14,754,-77.2857142857142,0.203339629120879,-0.0232228708791209,"suyang",22,8,NA,NA,".",NA,NA,".",NA
"143",143,36982442137,"7",14,13,11,10,0,0,0,1,4136,490,455,567.714285714286,-329,-7,896.714285714286,0.216807129041172,FALSE,896.714285714286,3328,14,754,142.714285714286,0.269445398351648,0.0428828983516484,"suyang",22,8,NA,NA,".",NA,NA,".",NA
"144",144,37241107923,"2",6,6,6,6,2,2,0,0,2840,415,415,90,65,1,25,0.00880281690140845,FALSE,25,2680,1,25,0,0.00932835820895522,0,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"145",145,37443266749,"2",16,14,3,1,2,2,0,2,3596,445,30,31,-5,0,36,0.0100111234705228,FALSE,36,3280,1,35,1,0.0109756097560976,0.000304878048780488,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"146",146,37443266749,"3",16,14,3,1,2,2,0,2,3645,465,50,80,15,0,65,0.0178326474622771,FALSE,65,3280,1,35,30,0.0198170731707317,0.00914634146341463,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"147",147,37443266749,"4",17,15,3,1,2,2,0,2,3625,510,35,60,60,1,0,0,FALSE,0,3280,0,0,0,0,0,"suyang",1,1,NA,NA,".",NA,NA,".",NA
