"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","prem_adjacent","benchmark","prem_adjacent_perc","Author","bundleindexhigh","diff"
"133",38663832002,3,15,13,7,5,2,2,0,3,3240,433,215,240,433,13,-193,-0.0595679012345679,FALSE,82,20,3000,0.00666666666666667,"suyang",4,4
"134",38663832002,4,17,15,8,6,3,3,0,3,3340,513,285,340,513,15,-173,-0.0517964071856287,FALSE,102,3,3000,0.001,"suyang",5,5
"135",38663832002,5,16,14,8,6,3,3,0,3,3330,500,282,330,500,14,-170,-0.0510510510510511,FALSE,105,-23,3000,-0.00766666666666667,"suyang",6,3
"136",38663832002,6,17,15,9,7,3,3,0,3,3360,553,335,360,553,15,-193,-0.0574404761904762,FALSE,82,65,3000,0.0216666666666667,"suyang",7,2
"137",38663832002,7,17,15,9,7,3,3,0,3,3420,548,330,420,548,15,-128,-0.0374269005847953,FALSE,147,20,3000,0.00666666666666667,"suyang",8,4
"138",38708270318,2,12,12,1,1,2,2,0,0,3230,433,30,180,433,12,-253,-0.078328173374613,TRUE,22,20,3050,0.00655737704918033,"suyang",3,2
"139",38708270318,3,12,12,1,1,2,2,0,0,3290,473,70,240,473,12,-233,-0.0708206686930091,TRUE,42,10,3050,0.00327868852459016,"suyang",4,4
"140",38708270318,4,14,14,1,1,2,2,0,0,3390,563,100,340,563,14,-223,-0.0657817109144543,TRUE,52,23,3050,0.00754098360655738,"suyang",5,5
"141",38708270318,5,13,13,2,2,3,3,0,0,3350,500,97,300,500,13,-200,-0.0597014925373134,TRUE,75,-28,3050,-0.00918032786885246,"suyang",6,3
"142",38708270318,6,14,14,2,2,3,3,0,0,3380,558,105,330,558,14,-228,-0.0674556213017752,TRUE,47,20,3050,0.00655737704918033,"suyang",7,2
"143",38708270318,7,14,14,2,2,3,3,0,0,3440,598,145,390,598,14,-208,-0.0604651162790698,TRUE,67,1030,3050,0.337704918032787,"suyang",8,4
"144",39237426326,2,14,13,14,13,3,3,0,1,3150,350,350,300,350,14,-50,-0.0158730158730159,TRUE,10,35,2850,0.012280701754386,"suyang",3,2
"145",39237426326,3,14,13,14,13,3,3,0,1,3190,355,355,340,355,14,-15,-0.00470219435736677,TRUE,45,65,2850,0.0228070175438597,"suyang",4,2
"146",40148868087,2,17,16,1,1,2,2,0,1,3080,535,25,200,535,17,-335,-0.108766233766234,TRUE,45,45,2880,0.015625,"suyang",3,2
"147",40148868087,3,17,16,2,2,2,2,0,1,3130,540,40,250,540,17,-290,-0.0926517571884984,TRUE,90,20,2880,0.00694444444444444,"suyang",4,4
"148",40148868087,4,17,16,1,1,1,1,0,1,3160,550,20,280,550,17,-270,-0.0854430379746835,TRUE,110,25,2880,0.00868055555555556,"suyang",5,2
"149",40148868087,5,17,16,1,1,1,1,0,1,3190,555,25,310,555,17,-245,-0.0768025078369906,TRUE,135,35,2880,0.0121527777777778,"suyang",6,2
"150",40148868087,6,17,16,1,1,1,1,0,1,3230,560,30,350,560,17,-210,-0.065015479876161,TRUE,170,25,2880,0.00868055555555556,"suyang",7,2
"151",40175359932,2,18,16,7,5,0,0,0,2,4110,463,170,220,463,18,-243,-0.0591240875912409,TRUE,15,45,3890,0.0115681233933162,"suyang",3,2
"152",40175359932,3,18,16,8,6,0,0,0,2,4150,458,170,260,458,18,-198,-0.047710843373494,TRUE,60,35,3890,0.0089974293059126,"suyang",4,3
"153",40175359932,4,19,17,8,6,0,0,0,2,4250,523,223,360,523,19,-163,-0.0383529411764706,TRUE,95,15,3890,0.0038560411311054,"suyang",5,2
"154",40175359932,5,19,17,9,7,0,0,0,2,4280,538,243,390,538,19,-148,-0.0345794392523364,TRUE,110,35,3890,0.0089974293059126,"suyang",6,2
"155",40175359932,6,19,17,6,4,0,0,0,2,4310,533,118,420,533,19,-113,-0.0262180974477958,TRUE,145,70,3890,0.0179948586118252,"suyang",7,2
"156",40452911197,2,8,7,4,3,2,1,0,1,3080,330,105,181,330,8,-149,-0.0483766233766234,TRUE,15,25,2899,0.00862366333218351,"suyang",3,2
"157",40452911197,3,8,7,4,3,2,1,0,1,3120,345,120,221,345,8,-124,-0.0397435897435897,TRUE,40,10,2899,0.0034494653328734,"suyang",4,2
"158",40452911197,4,8,7,4,3,2,1,0,1,3180,395,170,281,395,8,-114,-0.0358490566037736,TRUE,50,-128,2899,-0.0441531562607796,"suyang",5,7
"159",40452911197,5,14,13,5,4,2,1,0,1,3150,493,150,251,493,14,-242,-0.0768253968253968,TRUE,-78,15,2899,0.00517419799931011,"suyang",6,2
"160",40452911197,6,14,13,5,4,2,1,0,1,3180,508,165,281,508,14,-227,-0.0713836477987421,TRUE,-63,25,2899,0.00862366333218351,"suyang",7,2
"161",40452911197,7,14,13,5,4,2,1,0,1,3220,523,180,321,523,14,-202,-0.0627329192546584,TRUE,-38,10,2899,0.0034494653328734,"suyang",8,2
