"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","bundle_add_on","price_ref_rel","num_of_acc_rel","premium_percent","ind_firstbundle_noacc"
"145",35540978058,0,1,1,0,0,0,0,0,0,2998,30,0,0,0,0,FALSE
"146",35540978058,1,9,9,3,3,2,2,0,0,3128,355,130,325,8,-0.0623401534526854,FALSE
"147",35540978058,2,11,11,5,5,4,4,0,0,3338,630,340,600,10,-0.0778909526662672,FALSE
"148",35540978058,3,12,12,6,6,5,5,0,1,3448,630,450,600,11,-0.0435034802784223,FALSE
"149",35540978058,4,12,12,6,6,5,5,0,1,3598,622,600,592,11,0.00222345747637576,FALSE
"150",35540978058,5,12,12,6,6,5,5,0,0,3798,847,800,817,11,-0.00447604002106372,FALSE
"151",35557065616,0,0,0,0,0,0,0,0,0,3280,0,0,0,0,0,TRUE
"152",35674260254,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,TRUE
"153",35674260254,1,12,12,10,10,2,2,0,0,2900,420,190,420,12,-0.0793103448275862,TRUE
"154",35674260254,2,12,12,10,10,2,2,0,0,2930,433,220,433,12,-0.0726962457337884,TRUE
"155",35674260254,3,12,12,10,10,2,2,0,0,2970,428,260,428,12,-0.0565656565656566,TRUE
"156",35674260254,4,12,12,10,10,2,2,0,0,3050,448,340,448,12,-0.0354098360655738,TRUE
"157",35674260254,5,13,13,11,11,2,2,0,0,3090,508,380,508,13,-0.0414239482200647,TRUE
"158",35674260254,6,13,13,11,11,2,2,0,0,3170,503,460,503,13,-0.0135646687697161,TRUE
"159",35674260254,7,13,13,11,11,2,2,0,0,3210,523,500,523,13,-0.00716510903426791,TRUE
"160",35674260254,8,16,16,11,11,2,2,0,0,3250,633,540,633,16,-0.0286153846153846,TRUE
"161",36513357018,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,TRUE
"162",36513357018,1,1,1,1,1,1,1,0,0,2500,110,-450,110,1,-0.224,TRUE
"163",36513357018,2,12,12,12,12,3,3,0,0,3100,447,150,447,12,-0.0958064516129032,TRUE
"164",36513357018,3,13,13,13,13,4,4,0,0,3200,530,250,530,13,-0.0875,TRUE
"165",36513357018,4,13,13,13,13,4,4,0,0,3250,525,300,525,13,-0.0692307692307692,TRUE
"166",36513357018,5,13,13,13,13,4,4,0,0,3300,545,350,545,13,-0.0590909090909091,TRUE
"167",36574928690,0,0,0,0,0,0,0,0,0,2860,0,0,0,0,0,TRUE
"168",36574928690,1,12,12,12,12,2,2,0,0,2960,200,100,200,12,-0.0337837837837838,TRUE
"169",36574928690,2,16,16,16,16,2,2,0,0,3040,460,180,460,16,-0.0921052631578947,TRUE
