"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","bundle_price","optimal_price","premium_percent"
"236",38663832002,7,17,15,9,7,3,3,3420,NA,NA
"237",38663832002,8,19,17,11,9,4,4,3520,NA,NA
"238",38708270318,0,0,0,0,0,0,0,3050,NA,NA
"239",38708270318,1,12,12,1,1,2,2,3200,3460,-0.08125
"240",38708270318,2,12,12,1,1,2,2,3230,3468,-0.0736842105263158
"241",38708270318,3,12,12,1,1,2,2,3290,3508,-0.0662613981762918
"242",38708270318,4,14,14,1,1,2,2,3390,3598,-0.0613569321533923
"243",38708270318,5,13,13,2,2,3,3,3350,3535,-0.0552238805970149
"244",38708270318,6,14,14,2,2,3,3,3380,3593,-0.0630177514792899
"245",38708270318,7,14,14,2,2,3,3,3440,3633,-0.0561046511627907
"246",38708270318,8,16,16,2,2,3,3,4560,3723,0.183552631578947
"247",39237426326,0,0,0,0,0,0,0,2850,NA,NA
"248",39237426326,1,13,12,13,12,3,3,3080,NA,NA
"249",39237426326,2,14,13,14,13,3,3,3150,NA,NA
"250",39237426326,3,14,13,14,13,3,3,3190,NA,NA
"251",39237426326,4,14,13,14,13,3,3,3280,NA,NA
"252",40112687054,0,0,0,0,0,0,0,2999,NA,NA
"253",40148868087,0,0,0,0,0,0,0,2880,NA,NA
"254",40148868087,1,17,16,7,6,2,2,3030,NA,NA
"255",40148868087,2,17,16,1,1,2,2,3080,NA,NA
"256",40148868087,3,17,16,2,2,2,2,3130,NA,NA
"257",40148868087,4,17,16,1,1,1,1,3160,NA,NA
"258",40148868087,5,17,16,1,1,1,1,3190,NA,NA
"259",40148868087,6,17,16,1,1,1,1,3230,NA,NA
"260",40148868087,7,17,16,1,1,1,1,3280,NA,NA
"261",40175359932,0,0,0,0,0,0,0,3890,NA,NA
"262",40175359932,1,18,16,7,5,0,0,4080,NA,NA
"263",40175359932,2,18,16,7,5,0,0,4110,NA,NA
"264",40175359932,3,18,16,8,6,0,0,4150,NA,NA
"265",40175359932,4,19,17,8,6,0,0,4250,NA,NA
"266",40175359932,5,19,17,9,7,0,0,4280,NA,NA
"267",40175359932,6,19,17,6,4,0,0,4310,NA,NA
"268",40175359932,7,19,17,8,6,0,0,4400,NA,NA
"269",40452911197,0,0,0,0,0,0,0,2899,NA,NA
"270",40452911197,1,8,7,4,3,2,1,3050,NA,NA
"271",40452911197,2,8,7,4,3,2,1,3080,NA,NA
"272",40452911197,3,8,7,4,3,2,1,3120,NA,NA
"273",40452911197,4,8,7,4,3,2,1,3180,NA,NA
"274",40452911197,5,13,12,5,4,2,1,3150,NA,NA
"275",40452911197,6,13,12,5,4,2,1,3180,NA,NA
"276",40452911197,7,13,12,5,4,2,1,3220,NA,NA
"277",40452911197,8,13,12,5,4,2,1,3280,NA,NA
"278",40565901878,0,0,0,0,0,0,0,3450,NA,NA
"279",40565901878,1,6,6,6,6,1,1,3490,3538,-0.0137535816618911
"280",40565901878,2,8,8,8,8,2,2,3655,3568,0.0238030095759234
"281",40565901878,3,12,12,12,12,5,5,3675,3828,-0.0416326530612245
"282",41583985792,0,0,0,0,0,0,0,3440,NA,NA
"283",41599133465,0,3,3,0,0,0,0,2650,190,0.928301886792453
"284",41599133465,1,13,12,10,9,0,0,2750,NA,NA
"285",41802068265,0,0,0,0,0,0,0,2980,NA,NA
"286",41802068265,1,14,14,4,4,1,1,3200,3313,-0.0353125
"287",41802068265,2,14,14,5,5,1,1,3240,3363,-0.037962962962963
"288",41802068265,3,16,16,5,5,1,1,3310,3423,-0.0341389728096677
"289",41802068265,4,19,19,9,9,2,2,3390,3543,-0.0451327433628319
"290",41802068265,5,19,19,9,9,2,2,3460,3568,-0.0312138728323699
"291",41802068265,6,10,10,10,10,3,3,3530,3353,0.0501416430594901
"292",41802068265,7,23,23,12,12,4,4,3600,3728,-0.0355555555555556
